2026-03-08 17:15:44.665 [info] Starting Python Locator /home/bap/.vscode/extensions/ms-python.python-2026.2.0-linux-x64/python-env-tools/bin/pet server
2026-03-08 17:15:44.787 [info] Discovered env: /bin/python
2026-03-08 17:15:44.792 [info] Discovered env: /usr/bin/python
2026-03-08 17:15:44.814 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.814 [info] Discovered env: /usr/sbin/python
2026-03-08 17:15:44.815 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.815 [info] Discovered env: /sbin/python
2026-03-08 17:15:44.864 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.865 [info] Discovered env: /usr/sbin/python3
2026-03-08 17:15:44.867 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.867 [info] Discovered env: /sbin/python3
2026-03-08 17:15:44.924 [info] Env ("/sbin/python3.14") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.14", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.14"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.924 [info] Discovered env: /sbin/python3.14
2026-03-08 17:15:44.930 [info] Env ("/usr/sbin/python3.14") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.14", prefix: "/usr", version: "3.14.3.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.14"]) } and reported as Some(GlobalPaths)
2026-03-08 17:15:44.930 [info] Discovered env: /usr/sbin/python3.14
2026-03-08 17:15:44.934 [info] Locator Conda took 82.409938ms
2026-03-08 17:15:44.935 [info] Locator Homebrew took 108.215µs
2026-03-08 17:15:44.936 [info] Locator LinuxGlobal took 140.376436ms
2026-03-08 17:15:44.936 [info] Locator PipEnv took 26.01µs
2026-03-08 17:15:44.936 [info] Locator Pixi took 45.881µs
2026-03-08 17:15:44.936 [info] Locator Poetry took 272.386µs
2026-03-08 17:15:44.936 [info] Locator PyEnv took 326.731µs
2026-03-08 17:15:44.936 [info] Locator Uv took 70.361µs
2026-03-08 17:15:44.936 [info] Locator Venv took 14.692µs
2026-03-08 17:15:44.936 [info] Locator VirtualEnv took 25.906µs
2026-03-08 17:15:44.937 [info] Locator VirtualEnvWrapper took 22.06µs
2026-03-08 17:15:44.937 [info] Locator GlobalVirtualEnvs took 329.205µs
2026-03-08 17:15:44.937 [info] Locator Locators took 141.409815ms
2026-03-08 17:15:44.937 [info] Locator Path took 282.555287ms
2026-03-08 17:15:44.937 [info] Locator Workspaces took 4.926275ms
2026-03-08 17:15:44.937 [info] Refresh completed in 282ms
2026-03-08 17:15:44.974 [info] Resolved Python Environment /bin/python
2026-03-08 17:22:01.995 [info] Resolved Python Environment /bin/python
2026-03-08 17:22:53.260 [info] Resolved Python Environment /bin/python
